source_ko	title_en
기타경영사항(자율공시)(편광판 및 편광판 소재 사업 영업 양도 결정)	Other Management Matters (Voluntary Disclosure) (Decision to Transfer the Polarizer and Polarizer Materials Business)
기타경영사항(자율공시)(포스코 광양제철소 석회소성 설비 당사 임대 운영)	Other Management Matters (Voluntary Disclosure) (Operation of POSCO Gwangyang Steelworks Lime Calcination Facilities Under Lease)
기타경영사항(자율공시)(포스코 인도 냉연 수처리설비/Electrical System 의 진행사항 공시)	Other Management Matters (Voluntary Disclosure) (Progress Update on Water Treatment and Electrical Systems for POSCO India Cold-Rolling Facilities)
기타경영사항(자율공시)(포스코특수강 매각 관련)	Other Management Matters (Voluntary Disclosure) (Sale of POSCO Specialty Steel)
기타경영사항(자율공시)(합병승인 이사회결의)	Other Management Matters (Voluntary Disclosure) (Board Resolution Approving a Merger)
기타경영사항(자율공시)(현대그룹의 주요 자구계획 중 현대상선㈜ 관련)	Other Management Matters (Voluntary Disclosure) (Hyundai Merchant Marine Matters Under Hyundai Group's Principal Self-Rescue Plan)
기타경영사항(특허권취득)(자율공시)(FOLR1에 특이적으로 결합하는 항체 및 그의 용도)	Other Management Matters (Patent Acquisition, Voluntary Disclosure) (Antibody That Specifically Binds to FOLR1 and Uses Thereof)
기타경영사항(특허권취득)(자율공시)(IgG Fc 도메인을 가지는 융합 단백질의 생산방법)	Other Management Matters (Patent Acquisition, Voluntary Disclosure) (Method for Producing a Fusion Protein Containing an IgG Fc Domain)
기타경영사항(특허권취득)(자율공시)(IgG Fc 도메인을 가지는 융합 단백질의 안정한 액상 제제)	Other Management Matters (Patent Acquisition, Voluntary Disclosure) (Stable Liquid Formulation of a Fusion Protein Containing an IgG Fc Domain)
기타경영사항(특허권취득)(자율공시)(변형항체를 포함하는 항체-약물 접합체)	Other Management Matters (Patent Acquisition, Voluntary Disclosure) (Antibody-Drug Conjugate Containing a Modified Antibody)
기타경영사항(특허권취득)(자율공시)(항체-링커-약물 결합체(ADC, Antibody-Drug Conjugate), 그의 제조방법 및 그를 포함하는 항암제 조성물)	Other Management Matters (Patent Acquisition, Voluntary Disclosure) (Antibody-Linker-Drug Conjugate, Manufacturing Method, and Anticancer Composition Containing It)
기타경영사항(특허권취득)(자율공시)(혈액응고 인자 VII/VIIa 융합단백질의 제조방법)	Other Management Matters (Patent Acquisition, Voluntary Disclosure) (Method for Producing a Coagulation Factor VII/VIIa Fusion Protein)
기타녹색경영정보관련공시	Other Green Management Information Disclosure
기타당일공시	Other Same-Day Disclosure
기타시장안내	Other Market Notice
기타시장안내 (업종변경 안내)	Other Market Notice (Industry Classification Change Notice)
기타시장안내 (업종변경)	Other Market Notice (Industry Classification Change)
기타시장안내(1우선주 관리종목 지정 우려(시가총액 5억원 미달))	Other Market Notice (Risk of Administrative Issue Designation for First Preferred Shares Due to Market Capitalization Below KRW 500 Million)
기타시장안내(1우선주 시가총액 5억원 미만 관련 상장폐지 우려)	Other Market Notice (Risk of Delisting First Preferred Shares Due to Market Capitalization Below KRW 500 Million)
기타시장안내(1우선주 시가총액 5억원 미만 상장폐지 관련)	Other Market Notice (Delisting of First Preferred Shares Due to Market Capitalization Below KRW 500 Million)
기타시장안내(개선기간 부여 결정)	Other Market Notice (Decision to Grant a Remediation Period)
기타시장안내(기업심사위원회 심의대상 결정)	Other Market Notice (Decision to Refer the Matter to the Corporate Review Committee)
기타시장안내(기업심사위원회 심의대상 제외결정 안내)	Other Market Notice (Decision Not to Refer the Matter to the Corporate Review Committee)
기타시장안내(상장적격성 실질심사 관련 기업심사위원회 심의대상 여부 결정을 위한 조사기간 연장 안내)	Other Market Notice (Extension of Review Period to Determine Referral to the Corporate Review Committee for Substantive Listing Eligibility Review)
기타시장안내(상장적격성 실질심사 관련 안내)	Other Market Notice (Substantive Listing Eligibility Review Notice)
기타시장안내(상장적격성 실질심사 관련)	Other Market Notice (Substantive Listing Eligibility Review)
기타시장안내(상장적격성 실질심사 사유 발생 안내)	Other Market Notice (Occurrence of Grounds for Substantive Listing Eligibility Review)
기타시장안내(상장적격성 실질심사 사유추가 안내)	Other Market Notice (Addition of Grounds for Substantive Listing Eligibility Review)
기타시장안내(셀트리온 상장명세서)	Other Market Notice (Celltrion Listing Statement)
기타시장안내(약명및영문명)	Other Market Notice (Abbreviated and English Company Names)
기타시장안내(약명및영문명) (영문상호)	Other Market Notice (Abbreviated and English Company Names) (English Corporate Name)
기타시장안내(업종변경)	Other Market Notice (Industry Classification Change)
기타시장안내(에이치엘비우)	Other Market Notice (HLB Preferred Shares)
기타시장안내(연구개발 우수기업 매출액 특례적용 관련)	Other Market Notice (Special Revenue Criteria for Outstanding Research and Development Companies)
기타시장안내(우회상장심사 승인 결정 안내)	Other Market Notice (Approval of Backdoor Listing Review)
기타시장안내(유가증권시장 기업심사위원회 심의결과 및 상장유지 결정 안내)	Other Market Notice (Stock Market Corporate Review Committee Results and Decision to Maintain Listing)
기타시장안내(합병 우회상장 관련)	Other Market Notice (Backdoor Listing Through Merger)
기타시장조치등	Other Market Measures
기타안내사항(안내공시) (2025년 분기배당 일정 관련 안내)	Other Notice (2025 Quarterly Dividend Schedule)
기타안내사항(안내공시)(고려아연(주) 보통주 보호예수(의무보유)기간 만료 안내)	Other Notice (Expiration of Mandatory Holding Period for Korea Zinc Common Shares)
기타안내사항(안내공시)(보호예수기간 만료 안내)	Other Notice (Expiration of Lock-Up Period)
기타안내사항(안내공시)(보호예수기간만료)	Other Notice (Expiration of Lock-Up Period)
기타안내사항(안내공시)(주식매수청구권 행사 결과)	Other Notice (Results of Exercise of Appraisal Rights)
기타안내사항(안내공시)(주식매수청구권 행사결과 안내)	Other Notice (Results of Exercise of Appraisal Rights)
기타안내사항(안내공시)(주주총회 장소 및 시간 변경)	Other Notice (Change of Venue and Time for the General Meeting of Shareholders)
기타안내사항(안내공시)(합병관련 주식매수청구권 행사결과)	Other Notice (Results of Exercise of Appraisal Rights in Connection with a Merger)
기타익일공시	Other Next-Day Disclosure
기타주요경영사항 (유가증권시장 이전상장 추진 잠정 유보)	Other Material Management Matters (Temporary Suspension of Proposed Transfer Listing to the KOSPI Market)
기타주요경영사항 (유가증권시장 이전상장을 위한 예비심사 신청 철회의 건)	Other Material Management Matters (Withdrawal of Preliminary Review Application for Transfer Listing to the KOSPI Market)
기타주요경영사항(유가증권시장 이전상장 관련 이사회 결의 보고)	Other Material Management Matters (Board Resolution Regarding Transfer Listing to the KOSPI Market)
기타주요경영사항(인간 히알루로니다제 원천 기술(ALT-B4) 독점적 라이센스 계약 체결)	Other Material Management Matters (Exclusive License Agreement for Proprietary Human Hyaluronidase Technology ALT-B4)
기타주요경영사항(자회사의 주요경영사항) (유가증권시장 이전상장을 위한 예비심사 신청 철회의 건)	Other Material Management Matters (Material Management Matter of a Subsidiary: Withdrawal of Preliminary Review Application for Transfer Listing to the KOSPI Market)
기타주요경영사항(종속회사의주요경영사항) (회사합병결정(종속회사의 주요경영사항)철회 등)	Other Material Management Matters (Material Management Matter of a Subsidiary: Withdrawal of Company Merger Decision and Related Matters)
기타주요경영사항(종속회사의주요경영사항)(신규시설투자)	Other Material Management Matters (Material Management Matter of a Subsidiary: New Facility Investment)
기타주요경영사항(종속회사의주요경영사항)(에코프로비엠의 시설 투자 결정)	Other Material Management Matters (Material Management Matter of a Subsidiary: EcoPro BM Facility Investment Decision)
기타주요경영사항(타법인 주식 및 출자증권 취득 결정 취소)	Other Material Management Matters (Cancellation of Decision to Acquire Shares or Equity Securities of Another Company)
기타주요경영사항(타법인 주식 및 출자증권 취득결정 철회)	Other Material Management Matters (Withdrawal of Decision to Acquire Shares or Equity Securities of Another Company)
녹색기술ㆍ사업에대한인증ㆍ인증취소	Certification or Revocation of Certification for Green Technology or Business
녹색기업의지정ㆍ지정취소	Designation or Revocation of Designation as a Green Company
단기차입금감소	Decrease in Short-Term Borrowings
단기차입금감소결정	Decision to Decrease Short-Term Borrowings
단수주및실권주처리	Treatment of Fractional and Forfeited Shares
단일판매ㆍ공급계약해지	Termination of a Single Sales or Supply Contract
단일판매계약해지	Termination of a Single Sales Contract
대량주식취득보고서	Bulk Share Acquisition Report
대량주식취득승인신청서	Application for Approval of a Bulk Share Acquisition
등록법인결산서류	Financial Statements of a Registered Corporation
등록법인등록목적변경신청서	Application to Change the Purpose of Registration of a Registered Corporation
등록법인신청서	Registered Corporation Application
매매개시일기준가산정등에관한안내	Notice on Calculation of the Base Price for the First Trading Day
매매거래정지및정지해제(불성실공시)	Trading Suspension and Resumption (Unfaithful Disclosure)
매매거래정지및정지해제(중요내용공시)	Trading Suspension and Resumption (Material Disclosure)
매매거래정지및정지해제(풍문등조회공시)	Trading Suspension and Resumption (Inquiry Disclosure Regarding Rumors)
매출액또는손익구조30%(대규모법인15%)미만변경	Change of Less Than 30% in Revenue or Profit/Loss Structure (15% for Large Companies)
매출액또는손익구조30%(대규모법인은15%)미만변동	Change of Less Than 30% in Revenue or Profit/Loss Structure (15% for Large Companies)
매출액또는손익구조30%(대규모법인은15%)이상변경(자회사의 주요경영사항)(우리은행)	Change of 30% or More in Revenue or Profit/Loss Structure (15% for Large Companies) (Material Management Matter of Subsidiary Woori Bank)
모집이외의방법(사모)에의한사채발행결의	Resolution to Issue Bonds by Private Placement
무상증자결정	Decision on a Bonus Issue
반기검토(감사)보고서제출	Submission of Semiannual Review or Audit Report
반기검토(감사)의견거절등사실확인	Confirmation of Disclaimer of Opinion or Similar Matter in a Semiannual Review or Audit
배당락	Ex-Dividend
배당락 (주식배당)	Ex-Dividend (Stock Dividend)
배당락(주식배당)	Ex-Dividend (Stock Dividend)
벌금등의부과	Imposition of Fines or Similar Penalties
변경상장(상호변경)	Listing Change (Corporate Name Change)
본점소재지변경	Change of Head Office Address
분기ㆍ중간배당결정	Quarterly or Interim Dividend Decision
분할신고서	Spin-Off Report
분할종료보고서	Spin-Off Completion Report
불성실공시(공시번복)법인지정및벌점부과	Designation as an Unfaithful Disclosure Corporation and Penalty Points for Reversal of Disclosure
불성실공시(공시번복)법인지정예고및벌점부과예고	Advance Notice of Designation as an Unfaithful Disclosure Corporation and Penalty Points for Reversal of Disclosure
불성실공시법인미지정	Decision Not to Designate as an Unfaithful Disclosure Corporation
불성실공시법인미지정 (공시번복 2건)	Decision Not to Designate as an Unfaithful Disclosure Corporation (Two Reversals of Disclosure)
불성실공시법인미지정 (지정유예)	Decision Not to Designate as an Unfaithful Disclosure Corporation (Designation Deferred)
불성실공시법인미지정(유예)	Decision Not to Designate as an Unfaithful Disclosure Corporation (Deferred)
불성실공시법인미지정(지정유예)	Decision Not to Designate as an Unfaithful Disclosure Corporation (Designation Deferred)
불성실공시법인지정	Designation as an Unfaithful Disclosure Corporation
불성실공시법인지정(공시번복)	Designation as an Unfaithful Disclosure Corporation (Reversal of Disclosure)
불성실공시법인지정(공시불이행 2건)	Designation as an Unfaithful Disclosure Corporation (Two Failures to Disclose)
불성실공시법인지정예고	Advance Notice of Designation as an Unfaithful Disclosure Corporation
불성실공시법인지정예고 (공시번복 2건)	Advance Notice of Designation as an Unfaithful Disclosure Corporation (Two Reversals of Disclosure)
불성실공시법인지정예고(공시번복)	Advance Notice of Designation as an Unfaithful Disclosure Corporation (Reversal of Disclosure)
비상장회사의중요사항정기공시	Periodic Disclosure of Material Matters by an Unlisted Company
비유동자산취득결정	Decision to Acquire Non-Current Assets
사업계획의진척상황등(기술성장기업)	Progress of Business Plans and Other Matters (Technology Growth Company)
사업보고서제출기한연장신고서	Report on Extension of the Annual Report Filing Deadline
사채권자집회결의	Resolution of a Bondholders' Meeting
사채권자집회결의(제6-2회 무보증사채)	Resolution of a Bondholders' Meeting (6-2nd Unsecured Bonds)
사채권자집회결의(현대상선 제176-2회 무보증 사채)	Resolution of a Bondholders' Meeting (Hyundai Merchant Marine 176-2nd Unsecured Bonds)
사채권자집회결의(현대상선 제177-2회 무보증 사채)	Resolution of a Bondholders' Meeting (Hyundai Merchant Marine 177-2nd Unsecured Bonds)
사채권자집회결의(현대상선 제179-2회 무보증 사채)	Resolution of a Bondholders' Meeting (Hyundai Merchant Marine 179-2nd Unsecured Bonds)
사채권자집회결의(현대상선 제180회 무보증 사채)	Resolution of a Bondholders' Meeting (Hyundai Merchant Marine 180th Unsecured Bonds)
사채권자집회소집	Convocation of a Bondholders' Meeting
사채권자집회소집(대우조선해양 제4-2회 무보증사채)	Convocation of a Bondholders' Meeting (Daewoo Shipbuilding & Marine Engineering 4-2nd Unsecured Bonds)
사채권자집회소집(대우조선해양 제5-2회 무보증사채)	Convocation of a Bondholders' Meeting (Daewoo Shipbuilding & Marine Engineering 5-2nd Unsecured Bonds)
사채권자집회소집(대우조선해양 제6-1회 무보증사채)	Convocation of a Bondholders' Meeting (Daewoo Shipbuilding & Marine Engineering 6-1st Unsecured Bonds)
사채권자집회소집(대우조선해양 제6-2회 무보증사채)	Convocation of a Bondholders' Meeting (Daewoo Shipbuilding & Marine Engineering 6-2nd Unsecured Bonds)
사채권자집회소집(대우조선해양 제7회 무보증사채)	Convocation of a Bondholders' Meeting (Daewoo Shipbuilding & Marine Engineering 7th Unsecured Bonds)
사채권자집회소집(제6-2회 무보증사채)	Convocation of a Bondholders' Meeting (6-2nd Unsecured Bonds)
사채권자집회소집(현대상선 제176-2회 무보증 사채)	Convocation of a Bondholders' Meeting (Hyundai Merchant Marine 176-2nd Unsecured Bonds)
사채권자집회소집(현대상선 제177-2회 무보증 사채)	Convocation of a Bondholders' Meeting (Hyundai Merchant Marine 177-2nd Unsecured Bonds)
사채권자집회소집(현대상선 제179-2회 무보증 사채)	Convocation of a Bondholders' Meeting (Hyundai Merchant Marine 179-2nd Unsecured Bonds)
사채권자집회소집(현대상선 제180회 무보증 사채)	Convocation of a Bondholders' Meeting (Hyundai Merchant Marine 180th Unsecured Bonds)
사채권자집회소집(현대상선 제186회 무보증 신주인수권부사채)	Convocation of a Bondholders' Meeting (Hyundai Merchant Marine 186th Unsecured Bonds with Warrants)
사채원리금미지급발생	Default on Principal or Interest of Bonds
상근감사선임결의	Resolution to Appoint a Full-Time Auditor
상근감사해임	Dismissal of a Full-Time Auditor
상장유가증권(협회등록주권)과관련한소송의확정	Final Resolution of Litigation Related to Listed Securities or Association-Registered Shares
상장유가증권(협회등록주권)과관련한소의기각_각하또는취하	Dismissal, Rejection, or Withdrawal of an Action Related to Listed Securities or Association-Registered Shares
상장유가증권(협회등록주권)과관련한소제기	Filing of an Action Related to Listed Securities or Association-Registered Shares
상장유가증권(협회등록주권)관련이외의소송의확정	Final Resolution of Litigation Unrelated to Listed Securities or Association-Registered Shares
상장유가증권(협회등록주권)관련이외의소의기각_각하또는취하	Dismissal, Rejection, or Withdrawal of an Action Unrelated to Listed Securities or Association-Registered Shares
상장유가증권(협회등록주권)관련이외의소제기	Filing of an Action Unrelated to Listed Securities or Association-Registered Shares
상장채권관련기타주요사항	Other Material Matters Related to Listed Bonds
상장채권관련기타주요사항(현대상선 제177-2회 무보증 사채)	Other Material Matters Related to Listed Bonds (Hyundai Merchant Marine 177-2nd Unsecured Bonds)
상장채권관련기타주요사항(현대상선 제179-2회 무보증 사채)	Other Material Matters Related to Listed Bonds (Hyundai Merchant Marine 179-2nd Unsecured Bonds)
상장채권관련기타주요사항(현대상선 제180회 무보증 사채)	Other Material Matters Related to Listed Bonds (Hyundai Merchant Marine 180th Unsecured Bonds)
상장채권관련기타주요사항(현대상선 제186회 무보증 신주인수권부사채)	Other Material Matters Related to Listed Bonds (Hyundai Merchant Marine 186th Unsecured Bonds with Warrants)
상장채권기한의이익상실	Acceleration of Listed Bonds
상장폐지	Delisting
상장폐지결정	Delisting Decision
상장폐지승인을위한의안상정결정	Decision to Submit a Proposal for Approval of Delisting
상호변경안내	Corporate Name Change Notice
상호저축은행과점주주지위획득또는변동	Acquisition or Change of Controlling Shareholder Status in a Mutual Savings Bank
소속부변경	Change of Market Division
소송등의제기	Filing of Litigation
소송등의제기ㆍ신청(경영권분쟁소송)	Filing or Application of Litigation (Management Control Dispute)
소송등의제기ㆍ신청(경영권분쟁소송)(장부등열람허용가처분)	Filing or Application of Litigation (Management Control Dispute: Injunction to Permit Inspection of Books and Records)
소송등의제기ㆍ신청(일정금액이상의청구)(손해배상(기) 청구의 소)	Filing or Application of Litigation (Damages Claim Above the Reporting Threshold)
소송등의제기ㆍ신청(자율공시:합병ㆍ분할등관련무효ㆍ취소)	Filing or Application of Litigation (Voluntary Disclosure: Invalidation or Cancellation Related to Merger or Spin-Off)
소송등의판결ㆍ결정(자율공시:합병ㆍ분할등관련무효ㆍ취소)	Judgment or Decision in Litigation (Voluntary Disclosure: Invalidation or Cancellation Related to Merger or Spin-Off)
소액공모감사보고	Audit Report for a Small Public Offering
소액공모공시서류	Small Public Offering Disclosure Documents
소액공모실적보고서	Small Public Offering Results Report
수시공시의무관련사항(공정공시) (종속회사인 주식회사 에코프로이노베이션과 주식회사 에코프로씨엔지의 합병계획)	Matters Related to Ad Hoc Disclosure Obligations (Fair Disclosure) (Planned Merger of Subsidiaries EcoPro Innovation and EcoPro CNG)
수시공시의무관련사항(공정공시)(EV용 하이니켈 양극재(NCM) 판매 계약 체결)	Matters Related to Ad Hoc Disclosure Obligations (Fair Disclosure) (Sales Contract for High-Nickel NCM Cathode Materials for Electric Vehicles)
수시공시의무관련사항(공정공시)(대표이사 변경 예정)	Matters Related to Ad Hoc Disclosure Obligations (Fair Disclosure) (Planned Change of Chief Executive Officer)
수시공시의무관련사항(공정공시)(유상증자 계획)	Matters Related to Ad Hoc Disclosure Obligations (Fair Disclosure) (Planned Capital Increase with Consideration)
수시공시의무관련사항(공정공시)(전환사채권 발행 계획)	Matters Related to Ad Hoc Disclosure Obligations (Fair Disclosure) (Planned Issuance of Convertible Bonds)
수시공시의무관련사항(공정공시)(진단시약 공동 개발을 위한 양해각서(MOU) 체결)	Matters Related to Ad Hoc Disclosure Obligations (Fair Disclosure) (Memorandum of Understanding for Joint Development of Diagnostic Reagents)
수증	Receipt of a Donation
시설외투자등	Non-Facility Investments and Other Matters
시장조성보고서	Market Making Report
시장조성신고서	Market Making Statement
신규상장	New Listing
신주인수권부사채(해외신주인수권부사채포함)발행후만기전사채취득	Acquisition Before Maturity of Bonds with Warrants After Issuance, Including Overseas Bonds with Warrants
신주인수권부사채(해외신주인수권부사채포함)발행후만기전사채취득(제21회차BW)	Acquisition Before Maturity of Bonds with Warrants After Issuance (21st Bonds with Warrants)
신주인수권부사채(해외신주인수권부사채포함)발행후만기전사채취득(제35회차)	Acquisition Before Maturity of Bonds with Warrants After Issuance (35th Series)
신주인수권부사채(해외신주인수권부사채포함)발행후만기전사채취득(제37회차)	Acquisition Before Maturity of Bonds with Warrants After Issuance (37th Series)
신주인수권부사채발행결정	Decision to Issue Bonds with Warrants
신주인수권부사채행사가액결정	Determination of Exercise Price for Bonds with Warrants
신주인수권행사	Exercise of Warrants
신주인수권행사(17회차BW)	Exercise of Warrants (17th Bonds with Warrants)
신주인수권행사(제12회차)	Exercise of Warrants (12th Series)
신주인수권행사(제13회차)	Exercise of Warrants (13th Series)
신주인수권행사(제16회차BW)	Exercise of Warrants (16th Bonds with Warrants)
신주인수권행사(제1회차)	Exercise of Warrants (1st Series)
신주인수권행사가액의조정(제20회차BW)	Adjustment of Warrant Exercise Price (20th Bonds with Warrants)
신주인수권행사가액의조정(제30회차)	Adjustment of Warrant Exercise Price (30th Series)
신주인수권행사가액의조정(제34,35,37회차)	Adjustment of Warrant Exercise Price (34th, 35th, and 37th Series)
신주인수권행사가액의조정(제34회차)	Adjustment of Warrant Exercise Price (34th Series)
신주인수권행사가액의조정(제35회차)	Adjustment of Warrant Exercise Price (35th Series)
신주인수권행사가액의조정(제37회차)	Adjustment of Warrant Exercise Price (37th Series)
신주인수권행사가액의조정(제6회차 BW)	Adjustment of Warrant Exercise Price (6th Bonds with Warrants)
신탁계약등에의한자기주식취득상황	Status of Treasury Share Acquisition Under a Trust Agreement
신탁계약등에의해취득한자기주식의장외처분결정	Decision on Off-Market Disposal of Treasury Shares Acquired Under a Trust Agreement
업종변경	Change of Industry Classification
연결감사보고서	Consolidated Audit Report
연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)(HD현대사이트솔루션)	Preliminary Operating Results on a Consolidated Basis (Fair Disclosure) (Material Management Matter of Subsidiary HD Hyundai Site Solution)
연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)(메리츠증권)	Preliminary Operating Results on a Consolidated Basis (Fair Disclosure) (Material Management Matter of Subsidiary Meritz Securities)
연결재무제표기준영업(잠정)실적(공정공시)(자회사의 주요경영사항)(우리은행)	Preliminary Operating Results on a Consolidated Basis (Fair Disclosure) (Material Management Matter of Subsidiary Woori Bank)
영업(잠정)실적(공정공시)(자회사의 주요경영사항)(메리츠화재해상보험)	Preliminary Operating Results (Fair Disclosure) (Material Management Matter of Subsidiary Meritz Fire & Marine Insurance)
영업양도결정	Decision to Transfer a Business
영업양수ㆍ도신고서	Business Acquisition or Transfer Report
영업양수ㆍ도종료보고서	Business Acquisition or Transfer Completion Report
영업양수결정	Decision to Acquire a Business
영업정지	Business Suspension
예비공개매수설명서	Preliminary Tender Offer Prospectus
온실가스ㆍ에너지관리업체지정ㆍ지정취소	Designation or Revocation of Designation as a Greenhouse Gas and Energy Management Entity
외부감사계약의해지	Termination of External Audit Agreement
외부평가계약체결신고	Report on Execution of an External Valuation Agreement
우선주매매거래정지	Trading Suspension of Preferred Shares
유가증권-CP	Securities — Commercial Paper
유가증권-기타유가증권	Securities — Other Securities
유가증권-주식	Securities — Shares
유무상증자결정	Decision on Capital Increase with Consideration and Bonus Issue
유상증자1차발행가액결정	Determination of First Issue Price for Capital Increase with Consideration
유상증자결의	Resolution on Capital Increase with Consideration
유상증자결정(종속회사의주요경영사항)(ES America, LLC)	Decision on Capital Increase with Consideration (Material Management Matter of Subsidiary ES America, LLC)
유상증자결정(종속회사의주요경영사항)(LG Energy Solution Michigan)	Decision on Capital Increase with Consideration (Material Management Matter of Subsidiary LG Energy Solution Michigan)
유상증자결정(종속회사의주요경영사항)(제3자배정)	Decision on Capital Increase with Consideration (Material Management Matter of a Subsidiary: Third-Party Allocation)
유상증자또는주식관련사채등의청약결과(자율공시)(실권주 일반공모 ?약결과)	Subscription Results for a Capital Increase or Share-Related Bonds (Voluntary Disclosure) (Public Offering of Forfeited Shares)
유상증자또는주식관련사채등의청약결과(자율공시)(주주배정 유상증자)	Subscription Results for a Capital Increase or Share-Related Bonds (Voluntary Disclosure) (Shareholder-Allotted Capital Increase)
유상증자신주발행가액(안내공시)((1차 발행가액)	Issue Price of New Shares in a Capital Increase with Consideration (Notice) (First Issue Price)
유상증자신주발행가액(안내공시)((1차 발행가액))	Issue Price of New Shares in a Capital Increase with Consideration (Notice) (First Issue Price)
유상증자신주발행가액(안내공시)(1차 발행가액 안내공시)	Issue Price of New Shares in a Capital Increase with Consideration (Notice) (First Issue Price)
유상증자신주발행가액(안내공시)(유상증자 확정발행 가액)	Issue Price of New Shares in a Capital Increase with Consideration (Notice) (Final Issue Price)
유상증자신주발행가액(안내공시)(확정 발행가액)	Issue Price of New Shares in a Capital Increase with Consideration (Notice) (Final Issue Price)
유상증자최종발행가액확정	Finalization of Issue Price for Capital Increase with Consideration
유형자산처분결정	Decision to Dispose of Tangible Assets
유형자산취득결정	Decision to Acquire Tangible Assets
의결권대리행사권유에관한의견표명서	Statement of Opinion on Proxy Solicitation
의결권행사가금지되는주식의공시사항	Disclosure of Shares Prohibited from Exercising Voting Rights
의결권행사가금지되는주식의변동사유및변동내역	Reasons for and Details of Changes in Shares Prohibited from Exercising Voting Rights
이사회결의에의한주식매수선택권부여	Grant of Stock Options by Board Resolution
이사회의성별구성의무준수현황	Compliance Status for Board Gender Composition Requirements
이상급등종목지정	Designation as an Abnormally Surging Issue
이상급등종목지정예고	Advance Notice of Designation as an Abnormally Surging Issue
이상급등종목지정해제	Removal of Designation as an Abnormally Surging Issue
이익소각결정	Decision to Cancel Shares Using Retained Earnings
이익소각완료	Completion of Share Cancellation Using Retained Earnings
이익소각을위한자기주식취득완료또는취득기간종료	Completion of Treasury Share Acquisition or End of Acquisition Period for Share Cancellation Using Retained Earnings
일반채권의해외발행계약체결	Execution of an Overseas Straight Bond Issuance Agreement
일반채권의해외발행완료	Completion of Overseas Straight Bond Issuance
임시주주총회결과(자회사의 주요경영사항)(SK에너지-SK이노베이션의 100% 비상장 자회사)	Results of an Extraordinary General Meeting (Material Management Matter of SK Energy, a Wholly Owned Unlisted Subsidiary of SK Innovation)
임시주주총회결과(자회사의 주요경영사항)(SK이노베이션의 자회사인 SK에너지의 공시사항임)	Results of an Extraordinary General Meeting (Material Management Matter of Subsidiary SK Energy)
임시주주총회결과(자회사의 주요경영사항)(SK이노베이션의 자회사인 SK종합화학의 공시사항임)	Results of an Extraordinary General Meeting (Material Management Matter of Subsidiary SK Global Chemical)
임시주주총회결과(자회사의 주요경영사항)(SK이노베이션의 주요 자회사인 SK에너지의 공시사항임)	Results of an Extraordinary General Meeting (Material Management Matter of Major Subsidiary SK Energy)
임시주주총회결과(자회사의 주요경영사항)(SK종합화학-SK이노베이션의 100% 비상장 자회사)	Results of an Extraordinary General Meeting (Material Management Matter of SK Global Chemical, a Wholly Owned Unlisted Subsidiary of SK Innovation)
임시주주총회결과(자회사의 주요경영사항)(주요 자회사인 SK에너지 주식회사의 주요 경영사항임)	Results of an Extraordinary General Meeting (Material Management Matter of Major Subsidiary SK Energy)
임시주주총회결과(자회사의 주요경영사항)(주요 자회사인 SK종합화학 주식회사의 주요 경영사항임)	Results of an Extraordinary General Meeting (Material Management Matter of Major Subsidiary SK Global Chemical)
임시주주총회결과(자회사의 주요경영사항)(주요 자회사인 SK종합화학의 주요 경영사항임)	Results of an Extraordinary General Meeting (Material Management Matter of Major Subsidiary SK Global Chemical)
임시주주총회결과(제16기 제1차 임시주주총회 결과 공시)	Results of an Extraordinary General Meeting (First Extraordinary General Meeting of the 16th Fiscal Term)
임시주주총회결과(제16기 제2차 임시주주총회 결과)	Results of an Extraordinary General Meeting (Second Extraordinary General Meeting of the 16th Fiscal Term)
임시주주총회결과(제17기 제1차 임시주주총회 결과)	Results of an Extraordinary General Meeting (First Extraordinary General Meeting of the 17th Fiscal Term)
임시주주총회결과(제17기 제2차 임시주주총회 결과)	Results of an Extraordinary General Meeting (Second Extraordinary General Meeting of the 17th Fiscal Term)
임시주주총회결과(제17기 제3차 임시주주총회 결과)	Results of an Extraordinary General Meeting (Third Extraordinary General Meeting of the 17th Fiscal Term)
임시주주총회결과(제18기 제1차 임시주주총회)	Results of an Extraordinary General Meeting (First Extraordinary General Meeting of the 18th Fiscal Term)
임원ㆍ주요주주특정증권등거래계획보고서	Planned Transaction Report for Specified Securities by Officers and Major Shareholders
자기교환사채만기전취득결정	Decision to Acquire Own Exchangeable Bonds Before Maturity
자기주식처분(신탁계약등해지)결과	Treasury Share Disposal Results Following Termination of a Trust Agreement
자기주식처분결과	Treasury Share Disposal Results
자기주식취득결과	Treasury Share Acquisition Results
자기주식취득신탁계약등체결결정	Decision to Enter into a Treasury Share Acquisition Trust Agreement
자본도입또는기술도입계약체결	Execution of a Capital Introduction or Technology Introduction Agreement
자본잠식50%이상또는매출액50억원미만사실발생	Occurrence of Capital Impairment of at Least 50% or Revenue Below KRW 5 Billion
자산양도등의등록신청서	Application for Registration of an Asset Transfer or Similar Transaction
자산양수ㆍ도신고서	Asset Acquisition or Transfer Report
자산양수ㆍ도종료보고서	Asset Acquisition or Transfer Completion Report
자산유동화계획의등록신청서	Application for Registration of an Asset Securitization Plan
자산재평가결과	Asset Revaluation Results
자산재평가변경	Change in Asset Revaluation
